Typ normy,Strefa,Informacje dotyczące obszaru przekroczenia,Przyczyny przekroczenia,Stanowisko pomiarowe,Data i godzina,Czas trwania,Liczba mieszkańców,Wartość maksymalnego stężenia (µg/m3),Informacje o podjętych ograniczeniach,Dodatkowe informacje,Odnośnik do strony internetowej z informacjami,Odnośnik do strony internetowej z planem działań,Prognoza zmian stężeń,"Obszar geograficzny, na którym spodziewane są przekroczenia",Informacje w sprawie grup ludności objętych ryzykiem,Opis prawdopodobnych symptomów,Zalecane środki ostrożności,"Wskazanie, gdzie można uzyskać dalsze informacje",Identyfikator stacji,Kod stacji,Nazwa stacji,WGS84 φ N,WGS84 λ E,Identyfikator miasta,Nazwa miasta,Gmina,Powiat,Województwo,Ulica
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL0204 strefa dolnośląska,,"Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków,Szczególne lokalne warunki rozprzestrzeniania się zanieczyszczeń",DsKlodzSzkol,2021-01-01 00:00:00,24godziny,,117.4,Powiadomiono o przekroczeniu Wojewódzkie Centrum Zarządzania Kryzysowego.,,http://powietrze.gios.gov.pl/pjp/warnings,https://edzienniki.duw.pl/legalact/2020/4389/,Poprawa jakości powietrza ze względu na prognozowane opady,,"- osoby cierpiące z powodu przewlekłych chorób serca (zwłaszcza niewydolność serca, choroba wieńcowa), 
- osoby cierpiące z powodu przewlekłych chorób układu oddechowego (np. astma, przewlekła obturacyjna choroba płuc), 
- osoby starsze, kobiety w ciąży oraz małe dzieci,
- osoby z rozpoznaną chorobą nowotworową oraz ozdrowieńcy.","Osoby cierpiące z powodu chorób serca mogą odczuwać pogorszenie samopoczucia np. uczucie bólu w klatce piersiowej, brak tchu, znużenie. 
Osoby cierpiące z powodu przewlekłych chorób układu oddechowego mogą odczuwać przejściowe nasilenie dolegliwości, w tym kaszel, dyskomfort w klatce piersiowej, nasilenie się objawów ataków astmy.
Podobne objawy mogą wystąpić również u osób zdrowych. W okresach wysokich stężeń pyłu zawieszonego w powietrzu zwiększa się ryzyko infekcji dróg oddechowych.","Ogół ludności:
- rozważ ograniczenie intensywnego wysiłku fizycznego na zewnątrz, jeśli odczuwasz pieczenie w oczach, kaszel lub ból gardła, 
-  ogranicz wietrzenie pomieszczeń, 
-  unikaj działań zwiększających zanieczyszczenie powietrza, np. palenia w kominku.
Wrażliwe grupy ludności:
-  ogranicz intensywny wysiłek fizyczny na zewnątrz, 
-  nie zapominaj o normalnie przyjmowanych lekach, 
- osoby z astmą mogą częściej odczuwać objawy (duszność, kaszel, świsty) i potrzebować swoich leków częściej niż normalnie,
-  ogranicz wietrzenie pomieszczeń,
-  unikaj działań zwiększających zanieczyszczenie powietrza, np. palenia w kominku.
W przypadku nasilenia objawów chorobowych zalecana jest konsultacja z lekarzem. 
Zaleca się również:
-  zwiększenie nadzoru nad osobami przewlekle chorymi, w tym niepełnosprawnymi, 
-  prowadzenie szerokiej edukacji adresowanej przede wszystkim do uczniów szkół podstawowych, średnich oraz ich prawnych opiekunów, dotyczącej problemu zanieczyszczonego powietrza oraz możliwych zachowań i czynności zmniejszających ryzyko narażenia na wysokie stężenia zanieczyszczeń, w tym pyłu zawieszonego,
 - bieżące śledzenie informacji o zanieczyszczeniu powietrza (http://powietrze.gios.gov.pl/pjp/current).",- Państwowy Monitoring Środowiska – dane z systemu monitoringu jakości powietrza Głównego Inspektoratu Ochrony Środowiska oraz prognozy jakości powietrza: http://powietrze.gios.gov.pl/,38.0,DsKlodzSzkol,"Kłodzko, ul. Szkolna",50.433493,16.653660,368.0,Kłodzko,Kłodzko,kłodzki,DOLNOŚLĄSKIE,ul. Szkolna 8
Poziom Alarmowy (PA) - Ochrona Zdrowia (OZ) / S24 > 150 ug/m3,PL0204 strefa dolnośląska,,"Szczególne lokalne warunki rozprzestrzeniania się zanieczyszczeń,Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków",DsNowRudJezi,2021-01-01 00:00:00,24godziny,,193.6,Powiadomiono o przekroczeniu Wojewódzkie Centrum Zarządzania Kryzysowego.,,http://powietrze.gios.gov.pl/pjp/warnings,https://edzienniki.duw.pl/legalact/2020/4389/,Spodziewana jest poprawa jakości powietrza ze względu na prognozowane opady,,"- osoby cierpiące z powodu przewlekłych chorób serca (zwłaszcza niewydolność serca, choroba wieńcowa), 
- osoby cierpiące z powodu przewlekłych chorób układu oddechowego (np. astma, przewlekła obturacyjna choroba płuc), 
- osoby starsze, kobiety w ciąży oraz małe dzieci,
- osoby z rozpoznaną chorobą nowotworową oraz ozdrowieńcy.","Osoby cierpiące z powodu chorób serca mogą odczuwać pogorszenie samopoczucia np. uczucie bólu w klatce piersiowej, brak tchu, znużenie. 
Osoby cierpiące z powodu przewlekłych chorób układu oddechowego mogą odczuwać przejściowe nasilenie dolegliwości, w tym kaszel, dyskomfort w klatce piersiowej, nasilenie się objawów ataków astmy.
Podobne objawy mogą wystąpić również u osób zdrowych. W okresach wysokich stężeń pyłu zawieszonego w powietrzu zwiększa się ryzyko infekcji dróg oddechowych.","Ogół ludności:
- rozważ ograniczenie intensywnego wysiłku fizycznego na zewnątrz, jeśli odczuwasz pieczenie w oczach, kaszel lub ból gardła, 
-  ogranicz wietrzenie pomieszczeń, 
-  unikaj działań zwiększających zanieczyszczenie powietrza, np. palenia w kominku.
Wrażliwe grupy ludności:
-  ogranicz intensywny wysiłek fizyczny na zewnątrz, 
-  nie zapominaj o normalnie przyjmowanych lekach, 
- osoby z astmą mogą częściej odczuwać objawy (duszność, kaszel, świsty) i potrzebować swoich leków częściej niż normalnie,
-  ogranicz wietrzenie pomieszczeń,
-  unikaj działań zwiększających zanieczyszczenie powietrza, np. palenia w kominku.
W przypadku nasilenia objawów chorobowych zalecana jest konsultacja z lekarzem. 
Zaleca się również:
-  zwiększenie nadzoru nad osobami przewlekle chorymi, w tym niepełnosprawnymi, 
-  prowadzenie szerokiej edukacji adresowanej przede wszystkim do uczniów szkół podstawowych, średnich oraz ich prawnych opiekunów, dotyczącej problemu zanieczyszczonego powietrza oraz możliwych zachowań i czynności zmniejszających ryzyko narażenia na wysokie stężenia zanieczyszczeń, w tym pyłu zawieszonego,
 - bieżące śledzenie informacji o zanieczyszczeniu powietrza (http://powietrze.gios.gov.pl/pjp/current).",- Państwowy Monitoring Środowiska – dane z systemu monitoringu jakości powietrza Głównego Inspektoratu Ochrony Środowiska oraz prognozy jakości powietrza: http://powietrze.gios.gov.pl/,11254.0,DsNowRudJezi,"Nowa Ruda, ul. Jeziorna",50.581492,16.498245,602.0,Nowa Ruda,Nowa Ruda,kłodzki,DOLNOŚLĄSKIE,ul. Jeziorna 19
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL0204 strefa dolnośląska,,Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków,DsLubanMieszMOB,2021-01-01 00:00:00,24godziny,,106.7,Powiadomiono o przekroczeniu Wojewódzkie Centrum Zarządzania Kryzysowego.,,http://powietrze.gios.gov.pl/pjp/warnings,https://edzienniki.duw.pl/legalact/2020/4389/,Przewiduje się poprawę jakości powietrza ze względu na prognozowane opady,,"- osoby cierpiące z powodu przewlekłych chorób serca (zwłaszcza niewydolność serca, choroba wieńcowa), 
- osoby cierpiące z powodu przewlekłych chorób układu oddechowego (np. astma, przewlekła obturacyjna choroba płuc), 
- osoby starsze, kobiety w ciąży oraz małe dzieci,
- osoby z rozpoznaną chorobą nowotworową oraz ozdrowieńcy.","Osoby cierpiące z powodu chorób serca mogą odczuwać pogorszenie samopoczucia np. uczucie bólu w klatce piersiowej, brak tchu, znużenie. 
Osoby cierpiące z powodu przewlekłych chorób układu oddechowego mogą odczuwać przejściowe nasilenie dolegliwości, w tym kaszel, dyskomfort w klatce piersiowej, nasilenie się objawów ataków astmy.
Podobne objawy mogą wystąpić również u osób zdrowych. W okresach wysokich stężeń pyłu zawieszonego w powietrzu zwiększa się ryzyko infekcji dróg oddechowych.","Ogół ludności:
- rozważ ograniczenie intensywnego wysiłku fizycznego na zewnątrz, jeśli odczuwasz pieczenie w oczach, kaszel lub ból gardła, 
-  ogranicz wietrzenie pomieszczeń, 
-  unikaj działań zwiększających zanieczyszczenie powietrza, np. palenia w kominku.
Wrażliwe grupy ludności:
-  ogranicz intensywny wysiłek fizyczny na zewnątrz, 
-  nie zapominaj o normalnie przyjmowanych lekach, 
- osoby z astmą mogą częściej odczuwać objawy (duszność, kaszel, świsty) i potrzebować swoich leków częściej niż normalnie,
-  ogranicz wietrzenie pomieszczeń,
-  unikaj działań zwiększających zanieczyszczenie powietrza, np. palenia w kominku.
W przypadku nasilenia objawów chorobowych zalecana jest konsultacja z lekarzem. 
Zaleca się również:
-  zwiększenie nadzoru nad osobami przewlekle chorymi, w tym niepełnosprawnymi, 
-  prowadzenie szerokiej edukacji adresowanej przede wszystkim do uczniów szkół podstawowych, średnich oraz ich prawnych opiekunów, dotyczącej problemu zanieczyszczonego powietrza oraz możliwych zachowań i czynności zmniejszających ryzyko narażenia na wysokie stężenia zanieczyszczeń, w tym pyłu zawieszonego,
 - bieżące śledzenie informacji o zanieczyszczeniu powietrza (http://powietrze.gios.gov.pl/pjp/current).",- Państwowy Monitoring Środowiska – dane z systemu monitoringu jakości powietrza Głównego Inspektoratu Ochrony Środowiska oraz prognozy jakości powietrza: http://powietrze.gios.gov.pl/,,,,,,,,,,,
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL0204 strefa dolnośląska,,"Szczególne lokalne warunki rozprzestrzeniania się zanieczyszczeń,Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków",DsKlodzSzkol,2020-12-31 00:00:00,24godziny,,132.8,,,,,,,,,,,38.0,DsKlodzSzkol,"Kłodzko, ul. Szkolna",50.433493,16.653660,368.0,Kłodzko,Kłodzko,kłodzki,DOLNOŚLĄSKIE,ul. Szkolna 8
Poziom Alarmowy (PA) - Ochrona Zdrowia (OZ) / S24 > 150 ug/m3,PL0204 strefa dolnośląska,,"Szczególne lokalne warunki rozprzestrzeniania się zanieczyszczeń,Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków",DsNowRudJezi,2020-12-31 00:00:00,24godziny,,193.0,,,,,,,,,,,11254.0,DsNowRudJezi,"Nowa Ruda, ul. Jeziorna",50.581492,16.498245,602.0,Nowa Ruda,Nowa Ruda,kłodzki,DOLNOŚLĄSKIE,ul. Jeziorna 19
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL0204 strefa dolnośląska,,"Szczególne lokalne warunki rozprzestrzeniania się zanieczyszczeń,Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków",DsKlodzSzkol,2020-12-30 00:00:00,24godziny,,107.9,,,,,,,,,,,38.0,DsKlodzSzkol,"Kłodzko, ul. Szkolna",50.433493,16.653660,368.0,Kłodzko,Kłodzko,kłodzki,DOLNOŚLĄSKIE,ul. Szkolna 8
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL0204 strefa dolnośląska,,"Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków,Szczególne lokalne warunki rozprzestrzeniania się zanieczyszczeń",DsNowRudJezi,2020-12-30 00:00:00,24godziny,,148.8,,,,,,,,,,,11254.0,DsNowRudJezi,"Nowa Ruda, ul. Jeziorna",50.581492,16.498245,602.0,Nowa Ruda,Nowa Ruda,kłodzki,DOLNOŚLĄSKIE,ul. Jeziorna 19
Poziom Dopuszczalny (PD) - Ochrona Zdrowia (OZ) / > 35 dni z S24 > 50 ug/m3,PL0204 strefa dolnośląska,,Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków,DsLubanMieszMOB,2020-12-17 00:00:00,,,138.00875,,,,,,,,,,,,,,,,,,,,,
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL0204 strefa dolnośląska,,Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków,DsLubanMieszMOB,2020-12-15 00:00:00,24godziny,22.0,105.6,Powiadomiono o ryzyku przekroczenia / przekroczeniu Wojewódzkie Centrum Zarządzania Kryzysowego.,,http://powietrze.gios.gov.pl/pjp/warnings,https://edzienniki.duw.pl/legalact/2020/4389/,Na podstawie analizy wyników pomiarów oraz sytuacji meteorologicznej prognozuje się poprawę jakości powietrza na obszarze Lubania oraz ryzyko przekroczenia w Legnicy poziomu informowania w dniu 16.12.2020 r.,m. Legnica - 16.12.2020 r.,"- osoby cierpiące z powodu przewlekłych chorób serca (zwłaszcza niewydolność serca, choroba wieńcowa), 
- osoby cierpiące z powodu przewlekłych chorób układu oddechowego (np. astma, przewlekła obturacyjna choroba płuc), 
- osoby starsze, kobiety w ciąży oraz małe dzieci,
- osoby z rozpoznaną chorobą nowotworową oraz ozdrowieńcy.","Osoby cierpiące z powodu chorób serca mogą odczuwać pogorszenie samopoczucia np. uczucie bólu w klatce piersiowej, brak tchu, znużenie. 
Osoby cierpiące z powodu przewlekłych chorób układu oddechowego mogą odczuwać przejściowe nasilenie dolegliwości, w tym kaszel, dyskomfort w klatce piersiowej, nasilenie się objawów ataków astmy.
Podobne objawy mogą wystąpić również u osób zdrowych. W okresach wysokich stężeń pyłu zawieszonego w powietrzu zwiększa się ryzyko infekcji dróg oddechowych.","Ogół ludności:
- rozważ ograniczenie intensywnego wysiłku fizycznego na zewnątrz, jeśli odczuwasz pieczenie w oczach, kaszel lub ból gardła, 
-  ogranicz wietrzenie pomieszczeń, 
-  unikaj działań zwiększających zanieczyszczenie powietrza, np. palenia w kominku.
Wrażliwe grupy ludności:
-  ogranicz intensywny wysiłek fizyczny na zewnątrz, 
-  nie zapominaj o normalnie przyjmowanych lekach, 
- osoby z astmą mogą częściej odczuwać objawy (duszność, kaszel, świsty) i potrzebować swoich leków częściej niż normalnie,
-  ogranicz wietrzenie pomieszczeń,
-  unikaj działań zwiększających zanieczyszczenie powietrza, np. palenia w kominku.
W przypadku nasilenia objawów chorobowych zalecana jest konsultacja z lekarzem. 
Zaleca się również:
-  zwiększenie nadzoru nad osobami przewlekle chorymi, w tym niepełnosprawnymi, 
-  prowadzenie szerokiej edukacji adresowanej przede wszystkim do uczniów szkół podstawowych, średnich oraz ich prawnych opiekunów, dotyczącej problemu zanieczyszczonego powietrza oraz możliwych zachowań i czynności zmniejszających ryzyko narażenia na wysokie stężenia zanieczyszczeń, w tym pyłu zawieszonego,
 - bieżące śledzenie informacji o zanieczyszczeniu powietrza (http://powietrze.gios.gov.pl/pjp/current).",- Państwowy Monitoring Środowiska – dane z systemu monitoringu jakości powietrza Głównego Inspektoratu Ochrony Środowiska: http://powietrze.gios.gov.pl/,,,,,,,,,,,
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL0202 miasto Legnica,,Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków,DsLegAlRzecz,2020-12-15 00:00:00,24godziny,99.0,102.3,Powiadomiono o ryzyku przekroczenia / przekroczeniu Wojewódzkie Centrum Zarządzania Kryzysowego.,,http://powietrze.gios.gov.pl/pjp/warnings,https://edzienniki.duw.pl/legalact/2020/4389/,Na podstawie analizy wyników pomiarów oraz sytuacji meteorologicznej prognozuje się ryzyko przekroczenia w m. Legnica poziomu informowania w dniu 16.12.2020 r.,m. Legnica - 16.12.2020,"- osoby cierpiące z powodu przewlekłych chorób serca (zwłaszcza niewydolność serca, choroba wieńcowa), 
- osoby cierpiące z powodu przewlekłych chorób układu oddechowego (np. astma, przewlekła obturacyjna choroba płuc), 
- osoby starsze, kobiety w ciąży oraz małe dzieci,
- osoby z rozpoznaną chorobą nowotworową oraz ozdrowieńcy","Osoby cierpiące z powodu chorób serca mogą odczuwać pogorszenie samopoczucia np. uczucie bólu w klatce piersiowej, brak tchu, znużenie. 
Osoby cierpiące z powodu przewlekłych chorób układu oddechowego mogą odczuwać przejściowe nasilenie dolegliwości, w tym kaszel, dyskomfort w klatce piersiowej, nasilenie się objawów ataków astmy.
Podobne objawy mogą wystąpić również u osób zdrowych. W okresach wysokich stężeń pyłu zawieszonego w powietrzu zwiększa się ryzyko infekcji dróg oddechowych.","Ogół ludności:
- rozważ ograniczenie intensywnego wysiłku fizycznego na zewnątrz, jeśli odczuwasz pieczenie w oczach, kaszel lub ból gardła, 
-  ogranicz wietrzenie pomieszczeń, 
-  unikaj działań zwiększających zanieczyszczenie powietrza, np. palenia w kominku.
Wrażliwe grupy ludności:
-  ogranicz intensywny wysiłek fizyczny na zewnątrz, 
-  nie zapominaj o normalnie przyjmowanych lekach, 
- osoby z astmą mogą częściej odczuwać objawy (duszność, kaszel, świsty) i potrzebować swoich leków częściej niż normalnie,
-  ogranicz wietrzenie pomieszczeń,
-  unikaj działań zwiększających zanieczyszczenie powietrza, np. palenia w kominku.
W przypadku nasilenia objawów chorobowych zalecana jest konsultacja z lekarzem. 
Zaleca się również:
-  zwiększenie nadzoru nad osobami przewlekle chorymi, w tym niepełnosprawnymi, 
-  prowadzenie szerokiej edukacji adresowanej przede wszystkim do uczniów szkół podstawowych, średnich oraz ich prawnych opiekunów, dotyczącej problemu zanieczyszczonego powietrza oraz możliwych zachowań i czynności zmniejszających ryzyko narażenia na wysokie stężenia zanieczyszczeń, w tym pyłu zawieszonego,
 - bieżące śledzenie informacji o zanieczyszczeniu powietrza (http://powietrze.gios.gov.pl/pjp/current).",- Państwowy Monitoring Środowiska – dane z systemu monitoringu jakości powietrza Głównego Inspektoratu Ochrony Środowiska: http://powietrze.gios.gov.pl/,52.0,DsLegAlRzecz,"Legnica, al. Rzeczypospolitej",51.204503,16.180513,453.0,Legnica,Legnica,Legnica,DOLNOŚLĄSKIE,al. Rzeczypospolitej 10/12
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL0204 strefa dolnośląska,,Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków,DsKlodzSzkol,2020-12-02 00:00:00,24godziny,,113.1,,,,,,,,,,,38.0,DsKlodzSzkol,"Kłodzko, ul. Szkolna",50.433493,16.653660,368.0,Kłodzko,Kłodzko,kłodzki,DOLNOŚLĄSKIE,ul. Szkolna 8
Poziom Alarmowy (PA) - Ochrona Zdrowia (OZ) / S24 > 150 ug/m3,PL0204 strefa dolnośląska,,"Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków,Szczególne lokalne warunki rozprzestrzeniania się zanieczyszczeń",DsNowRudJezi,2020-12-02 00:00:00,24godziny,,234.5,,,,,,,,,,,11254.0,DsNowRudJezi,"Nowa Ruda, ul. Jeziorna",50.581492,16.498245,602.0,Nowa Ruda,Nowa Ruda,kłodzki,DOLNOŚLĄSKIE,ul. Jeziorna 19
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL0204 strefa dolnośląska,,Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków,DsLubanMieszMOB,2020-12-02 00:00:00,24godziny,,138.0,,,,,,,,,,,,,,,,,,,,,
Poziom Alarmowy (PA) - Ochrona Zdrowia (OZ) / S24 > 150 ug/m3,PL0204 strefa dolnośląska,,"Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków,Szczególne lokalne warunki rozprzestrzeniania się zanieczyszczeń",DsNowRudJezi,2020-12-01 00:00:00,24godziny,,161.5,,,,,,,,,,,11254.0,DsNowRudJezi,"Nowa Ruda, ul. Jeziorna",50.581492,16.498245,602.0,Nowa Ruda,Nowa Ruda,kłodzki,DOLNOŚLĄSKIE,ul. Jeziorna 19
Poziom Alarmowy (PA) - Ochrona Zdrowia (OZ) / S24 > 150 ug/m3,PL0204 strefa dolnośląska,miasto Nowa Ruda,Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków,DsNowRudJezi,2020-11-24 00:00:00,24godziny,22000.0,159.7,"Powiadomiono o ryzyku przekroczenia / przekroczeniu Wojewódzkie Centrum Zarządzania Kryzysowego. 
Powiadomienie o ryzyku przekroczenia poziomu alarmowego jest podstawą do ogłoszenia 3 poziomu zagrożenia zgodnie z „Planem działań krótkoterminowych dla stref województwa dolnośląskiego”.",,http://powietrze.gios.gov.pl/pjp/warnings,https://edzienniki.duw.pl/legalact/2020/4389/,Prognozy na kolejne dni wskazują na utrzymywanie się złej jakości powietrza.,miasto Nowa Ruda,"- osoby cierpiące z powodu przewlekłych chorób serca (zwłaszcza niewydolność serca, choroba wieńcowa), 
- osoby cierpiące z powodu przewlekłych chorób układu oddechowego (np. astma, przewlekła obturacyjna choroba płuc), 
- osoby starsze, kobiety w ciąży oraz małe dzieci,
- osoby z rozpoznaną chorobą nowotworową oraz ozdrowieńcy.","Osoby cierpiące z powodu chorób serca mogą odczuwać pogorszenie samopoczucia np. uczucie bólu w klatce piersiowej, brak tchu, znużenie. 
Osoby cierpiące z powodu przewlekłych chorób układu oddechowego mogą odczuwać przejściowe nasilenie dolegliwości, w tym kaszel, dyskomfort w klatce piersiowej, nasilenie się objawów ataków astmy.
Podobne objawy mogą wystąpić również u osób zdrowych. W okresach wysokich stężeń pyłu zawieszonego w powietrzu zwiększa się ryzyko infekcji dróg oddechowych.","Ogół ludności:
- rozważ ograniczenie intensywnego wysiłku fizycznego na zewnątrz, jeśli odczuwasz pieczenie w oczach, kaszel lub ból gardła, 
-  ogranicz wietrzenie pomieszczeń, 
-  unikaj działań zwiększających zanieczyszczenie powietrza, np. palenia w kominku.
Wrażliwe grupy ludności:
-  ogranicz intensywny wysiłek fizyczny na zewnątrz, 
-  nie zapominaj o normalnie przyjmowanych lekach, 
- osoby z astmą mogą częściej odczuwać objawy (duszność, kaszel, świsty) i potrzebować swoich leków częściej niż normalnie,
-  ogranicz wietrzenie pomieszczeń,
-  unikaj działań zwiększających zanieczyszczenie powietrza, np. palenia w kominku.
W przypadku nasilenia objawów chorobowych zalecana jest konsultacja z lekarzem. 
Zaleca się również:
-  zwiększenie nadzoru nad osobami przewlekle chorymi, w tym niepełnosprawnymi, 
-  prowadzenie szerokiej edukacji adresowanej przede wszystkim do uczniów szkół podstawowych, średnich oraz ich prawnych opiekunów, dotyczącej problemu zanieczyszczonego powietrza oraz możliwych zachowań i czynności zmniejszających ryzyko narażenia na wysokie stężenia zanieczyszczeń, w tym pyłu zawieszonego,
 - bieżące śledzenie informacji o zanieczyszczeniu powietrza (http://powietrze.gios.gov.pl/pjp/current).",- Państwowy Monitoring Środowiska – dane z systemu monitoringu jakości powietrza Głównego Inspektoratu Ochrony Środowiska oraz prognozy jakości powietrza: http://powietrze.gios.gov.pl/,11254.0,DsNowRudJezi,"Nowa Ruda, ul. Jeziorna",50.581492,16.498245,602.0,Nowa Ruda,Nowa Ruda,kłodzki,DOLNOŚLĄSKIE,ul. Jeziorna 19
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL0204 strefa dolnośląska,miasto Nowa Ruda,Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków,DsNowRudJezi,2020-11-21 00:00:00,24godziny,22000.0,125.0,"Powiadomiono o ryzyku przekroczenia / przekroczeniu Wojewódzkie Centrum Zarządzania Kryzysowego. 
Powiadomienie o ryzyku przekroczenia jest podstawą do ogłoszenia 2 poziomu zagrożenia zgodnie z „Planem działań krótkoterminowych dla stref województwa dolnośląskiego”.",,http://powietrze.gios.gov.pl/pjp/warnings,https://edzienniki.duw.pl/legalact/2020/4389/,Na podstawie analizy wyników pomiarów oraz sytuacji meteorologicznej prognozuje się ryzyko przekroczenia w Nowej Rudzie poziomu informowania w dniu 22.11.2020 r.,miasto Nowa Ruda,"- osoby cierpiące z powodu przewlekłych chorób serca (zwłaszcza niewydolność serca, choroba wieńcowa), 
- osoby cierpiące z powodu przewlekłych chorób układu oddechowego (np. astma, przewlekła obturacyjna choroba płuc), 
- osoby starsze, kobiety w ciąży oraz małe dzieci,
- osoby z rozpoznaną chorobą nowotworową oraz ozdrowieńcy.","Osoby cierpiące z powodu chorób serca mogą odczuwać pogorszenie samopoczucia np. uczucie bólu w klatce piersiowej, brak tchu, znużenie. 
Osoby cierpiące z powodu przewlekłych chorób układu oddechowego mogą odczuwać przejściowe nasilenie dolegliwości, w tym kaszel, dyskomfort w klatce piersiowej, nasilenie się objawów ataków astmy.
Podobne objawy mogą wystąpić również u osób zdrowych. W okresach wysokich stężeń pyłu zawieszonego w powietrzu zwiększa się ryzyko infekcji dróg oddechowych.","Ogół ludności:
- rozważ ograniczenie intensywnego wysiłku fizycznego na zewnątrz, jeśli odczuwasz pieczenie w oczach, kaszel lub ból gardła, 
-  ogranicz wietrzenie pomieszczeń, 
-  unikaj działań zwiększających zanieczyszczenie powietrza, np. palenia w kominku.
Wrażliwe grupy ludności:
-  ogranicz intensywny wysiłek fizyczny na zewnątrz, 
-  nie zapominaj o normalnie przyjmowanych lekach, 
- osoby z astmą mogą częściej odczuwać objawy (duszność, kaszel, świsty) i potrzebować swoich leków częściej niż normalnie,
-  ogranicz wietrzenie pomieszczeń,
-  unikaj działań zwiększających zanieczyszczenie powietrza, np. palenia w kominku.
W przypadku nasilenia objawów chorobowych zalecana jest konsultacja z lekarzem. 
Zaleca się również:
-  zwiększenie nadzoru nad osobami przewlekle chorymi, w tym niepełnosprawnymi, 
-  prowadzenie szerokiej edukacji adresowanej przede wszystkim do uczniów szkół podstawowych, średnich oraz ich prawnych opiekunów, dotyczącej problemu zanieczyszczonego powietrza oraz możliwych zachowań i czynności zmniejszających ryzyko narażenia na wysokie stężenia zanieczyszczeń, w tym pyłu zawieszonego,
 - bieżące śledzenie informacji o zanieczyszczeniu powietrza (http://powietrze.gios.gov.pl/pjp/current).",- Państwowy Monitoring Środowiska – dane z systemu monitoringu jakości powietrza Głównego Inspektoratu Ochrony Środowiska oraz prognozy jakości powietrza: http://powietrze.gios.gov.pl/,11254.0,DsNowRudJezi,"Nowa Ruda, ul. Jeziorna",50.581492,16.498245,602.0,Nowa Ruda,Nowa Ruda,kłodzki,DOLNOŚLĄSKIE,ul. Jeziorna 19
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL0204 strefa dolnośląska,,"Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków,Szczególne lokalne warunki rozprzestrzeniania się zanieczyszczeń",DsNowRudJezi,2020-11-07 00:00:00,24godziny,,138.4,,,,,,,,,,,11254.0,DsNowRudJezi,"Nowa Ruda, ul. Jeziorna",50.581492,16.498245,602.0,Nowa Ruda,Nowa Ruda,kłodzki,DOLNOŚLĄSKIE,ul. Jeziorna 19
